name,ratings,number of ratings,price
"Lenovo Tab M10 Plus, 10.3"" FHD Android Tablet, Octa-Core Processor, 64GB Storage, 4GB RAM, Iron Grey, ZA5T0300US",4.5 out of 5 stars,"5,927",169.99
Samsung Galaxy Tab A7 10.4 Wi-Fi 32GB Silver (SM-T500NZSAXAR),4.7 out of 5 stars,"9,385",199.99
"SAMSUNG Galaxy Tab S7 Wi-Fi, Mystic Black - 128 GB",4.8 out of 5 stars,"6,017",537.68
"Samsung Galaxy Tab A 8.0”, Lightweight Android Tablet with Large Screen Feel, WiFi, Camera, Long-Lasting Battery, 64 GB, Black",4.6 out of 5 stars,"11,682",199.99
"Samsung Galaxy Tab S6 Lite 10.4"", 64GB Wi-Fi Tablet Oxford Gray - SM-P610NZAAXAR - S Pen Included",4.8 out of 5 stars,"3,575",311.32
"Tablet 10 Inch Android 9.0 3G Phone Tablets with 32GB Storage Dual Sim Card 5MP Camera, WiFi, Bluetooth, GPS, Quad Core, HD Touchscreen, Support 3G Phone Call (Black)",3.8 out of 5 stars,"7,673",Price not found
"Lenovo Tab M8 Tablet, 8"" HD Android Tablet, Quad-Core Processor, 2GHz, 32GB Storage, Full Metal Cover, Long Battery Life, Android 9 Pie, ZA5G0060US, Slate Black",4.6 out of 5 stars,"3,038",99.99
"VANKYO MatrixPad S10 10 inch Tablet, 2 GB RAM, 32 GB Storage, Quad-Core Processor, Android OS, 10.1"" IPS HD Display, Wi-Fi, USB Type C Port, GPS, FM, Slate Black",4.4 out of 5 stars,"2,392",Price not found
"Tablet 9 Inch,Android 10.0 Tablets,9"" IPS Full HD Touch-Screen,1.6 GHz Quad Core Processor,2.4 WiFi Bluetooth 4.2,2GB RAM,32GB Storage,4000mAh Battery,Hyjoy HB901 (Silver Gray)",4.4 out of 5 stars,536,Price not found
"VASTKING KingPad K10 Pro 10.1"" Octa-Core Tablet, 4GB RAM, 64GB Storage, Android 10, 1920x1200 Tablet with Keyboard and Stylus Pen, 60Hz Screen Rate, 13MP Rear Camera, 5G WiFi, GPS, Silver Grey",4.4 out of 5 stars,231,Price not found
"Samsung Galaxy Tab A 8.0"" (2019, WiFi Only) 32GB, 5100mAh All Day Battery, Dual Speaker, SM-T290, International Model (32GB + 32GB SD Bundle, Silver)",4.6 out of 5 stars,"4,573",159.0
"BOOX Note Air 10.3 ePaper, Android 10, Front Light, G-Sensor, Digital Paper, E Ink Notepad",4.1 out of 5 stars,239,Price not found
NEW Microsoft Surface Duo 128GB (Unlocked) - Glacier,4.0 out of 5 stars,44,997.99
"Pritom 7 inch Kids Tablet, Quad Core Android,1GB RAM+16GB ROM, WiFi,Bluetooth,Dual Camera, Educationl,Games,Parental Control,Kids Software Pre-Installed with Kids-Tablet Case (Dark Blue)",3.8 out of 5 stars,"3,775",Price not found
"Tablet 10 Inch, Dual SIM Android 9.0 Quad Core Processor Tablets, 32GB ROM 6000mAh Battery Google Certified HD Tablet, Support 128GB Memory Storage Expand, WiFi, Bluetooth, GPS",3.8 out of 5 stars,875,Price not found
"Android 10.0 Tablet 10 inch qunyiCO Y10 (10.1''), 2GB RAM 32GB Storage, 2MP+8MP Dual Camera, Quad-Core Processor, 1280x800 IPS HD Display Screen, Wi-Fi Bluetooth 5000mAh, Google GMS Certified Black",4.1 out of 5 stars,"1,001",Price not found
"Samsung Galaxy Tab A7 10.4"" (2020, WiFi + Cellular) 32GB 4G LTE Tablet & Phone (Makes Calls) GSM Unlocked, International Model w/US Charging Cube - SM-T505 (WiFi + Cellular, Silver)",4.4 out of 5 stars,213,Price not found
"Tablet 10.1 Inch, Android 9.0 Pie Tablet PC with 32GB ROM/128GB Expand, Dual Sim Card 2MP+ 5MP Camera, WiFi, Bluetooth, GPS, Quad Core, IPS HD Display, Google Certified Tablet【2020 Newest Silver】",3.7 out of 5 stars,"1,571",Price not found
"VANKYO MatrixPad S10 Kids Tablet 10 inch, 2 GB RAM, 32 GB Storage, Quad-Core Processor, Kidoz Pre Installed, 10.1"" IPS HD Display, Android OS, WiFi Tablet, Dual Camera, GPS, FM, Pink Kid-Proof Case",4.4 out of 5 stars,873,Price not found
"Android Tablet 10 inch, PRITOM M10, 2 GB RAM, 32 GB Android 9.0 Tablet, 10.1 inch IPS HD Display, GPS, FM, Quad-Core Processor, Wi-Fi (M10 Black)",4.1 out of 5 stars,836,Price not found
"Tablet 10 inch Octa Core -TOSCIDO Android 10.0,1920x1200 HD IPS,4GB RAM,64GB ROM,13M & 5M Camera,5G Wi-Fi,Bluetooth 5.0,GPS,Type-C,Include Bluetooth Keyboard,Mouse,Tablet Case and More - Silver",4.4 out of 5 stars,301,Price not found
"Android Tablet Pritom 10 inch Android 9.0 OS Tablet, 2GB RAM, 32GB ROM, Quad Core Processor, HD IPS Screen, 2.0 Front + 8.0 MP Rear Camera, WiFi, Bluetooth - Tablet PC(Black)",4.2 out of 5 stars,"1,081",Price not found
"10"" Windows 10 Fusion5 FWIN232 Plus S1 Ultra Slim Tablet Computer - (4GB RAM, USB 3.0, Intel, 5MP and 2MP Cameras, Windows 10 S Tablet PC)",4.2 out of 5 stars,"1,489",219.97
Venturer 10 Inches Intel Celeron N4000 4GB RAM 64GB Storage Touch 2-in-1 Bluetooth WiFi Windows 10 Tablet PC,4.0 out of 5 stars,49,158.88
"Samsung Galaxy Tab A 8.0"" (2019, WiFi + Cellular) 32GB, 5100mAh Battery, 4G LTE Tablet & Phone (Makes Calls) GSM Unlocked SM-T295, International Model (32 GB, Silver)",4.4 out of 5 stars,911,Price not found
"Samsung Galaxy Tab A7 10.4"" 64GB with Wi-Fi + 64GB microSD Memory Card (Gray)",4.7 out of 5 stars,331,Price not found
"VASTKING KingPad K10 10 inch Tablet, Android 10, 1920x1200 Resolution Octa Core Tablet, Up to 1.8Ghz, 3GB RAM, 32GB ROM, 13MP Rear Camera, Bluetooth 5.0, 2.4G&5G Wi-Fi, GPS, Full Metal Body, Ash Grey",4.5 out of 5 stars,340,Price not found
Tablet for Toddlers Tablet Android Kids Tablet with WiFi Dual Camera 1GB 32GB Storage 1024 x 600 IPS Screen Parental Control Mode Google Playstore YouTube Netflix for Boys Girls Android 10,3.8 out of 5 stars,509,Price not found
"Contixo V8-2 7 inch Kids Tablets - Tablet for Kids with Parental Control - Android Tablet 16 GB HD Display Durable Case & Screen Protector WiFi Camera-Learning Toys, Pink",3.8 out of 5 stars,"11,176",70.99
